LAMMPS data file via write_data, version 22 Aug 2018, timestep = 200000

1440 atoms
2 atom types

-1.1706159654706241e+00 5.1229934693470618e+01 xlo xhi
-1.0801579274706228e+00 5.1320392731470612e+01 ylo yhi
-3.4232511712575047e+00 1.5123246765124475e+02 zlo zhi

Masses

1 12.0112
2 10.81

Atoms # full

18 1 1 0.0000000000000000e+00 2.1578212037723453e+01 2.2571192218374566e+01 -2.7766320293167279e+00 0 0 0
37 1 1 0.0000000000000000e+00 2.2105619495189782e+01 2.2106004805167107e+01 -1.5234432911780251e+00 0 0 0
17 1 1 0.0000000000000000e+00 2.3954791134708298e+01 2.0952000981176713e+01 -2.8073611241917731e+00 0 0 0
40 1 1 0.0000000000000000e+00 2.3300446616135336e+01 2.1285091226598972e+01 -1.5397819100073593e+00 0 0 0
15 1 2 0.0000000000000000e+00 2.0903030898693270e+01 2.3949883397491810e+01 -2.8292011294654902e+00 0 0 0
38 1 1 0.0000000000000000e+00 2.0862318721713358e+01 2.4806363315343663e+01 -1.5045095480524695e+00 0 0 0
42 1 2 0.0000000000000000e+00 2.1477918158163231e+01 2.2682176019123361e+01 -2.0795519208139801e-01 0 0 0
41 1 2 0.0000000000000000e+00 2.3955067200405367e+01 2.0976327922163367e+01 -2.0458730934360903e-01 0 0 0
39 1 1 0.0000000000000000e+00 2.0983278904664534e+01 2.4134790133777855e+01 -2.8500858319618683e-01 0 0 0
13 1 1 0.0000000000000000e+00 2.2028592446383822e+01 2.2140181074355308e+01 1.1299222515314398e+00 0 0 0
66 1 1 0.0000000000000000e+00 2.1517585454035647e+01 2.2711909326315237e+01 2.4106891798819312e+00 0 0 0
16 1 1 0.0000000000000000e+00 2.3228255386867627e+01 2.1378712387721553e+01 1.1292846652798181e+00 0 0 0
65 1 1 0.0000000000000000e+00 2.3883952308793866e+01 2.1228897300073310e+01 2.4334438179433233e+00 0 0 0
14 1 1 0.0000000000000000e+00 2.0771104409761559e+01 2.4844014559998232e+01 9.8654166085723816e-01 0 0 0
63 1 2 0.0000000000000000e+00 2.0868583245549413e+01 2.4094439171941776e+01 2.3382313634626861e+00 0 0 0
85 1 1 0.0000000000000000e+00 2.1977470645269094e+01 2.2173479760328465e+01 3.6859544968042162e+00 0 0 0
