# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
700300 611.632 306.001 280.741 -28174.5
700400 609.203 308.431 279.626 -28175.6
700500 605.63 310.414 277.986 -28176.3
700600 602.879 314.384 276.723 -28177
700700 603.153 313.715 276.849 -28178.5
700800 602.383 317.1 276.495 -28179.4
700900 600.943 316.095 275.834 -28179.1
701000 602.397 317.218 276.502 -28180
701100 601.014 317.012 275.867 -28179.5
701200 602.47 315.936 276.536 -28180.4
701300 598.382 316.81 274.659 -28178.9
701400 600.263 317.694 275.522 -28180
701500 603.021 318.707 276.788 -28181.3
701600 600.009 317.584 275.406 -28180.2
701700 598.225 319.18 274.587 -28180.1
701800 598.855 320.572 274.876 -28180.4
701900 598.132 314.975 274.544 -28179.3
702000 603.667 319.64 277.085 -28181.2
702100 603.624 316.352 277.065 -28180.8
702200 598.926 319.614 274.909 -28179
702300 603.61 315.675 277.059 -28180.2
702400 604.141 315.228 277.302 -28180
702500 600.47 314.444 275.617 -28178.6
702600 600.659 316.506 275.704 -28179
702700 603.619 316.992 277.063 -28180.3
702800 601.107 316.894 275.91 -28179.4
702900 602.005 317.214 276.322 -28180.2
703000 602.69 317.853 276.637 -28180.6
703100 599.16 315.704 275.016 -28179.2
703200 598.79 317.885 274.846 -28179.2
703300 601.925 317.305 276.285 -28180.8
703400 601.756 318.471 276.207 -28181.2
703500 598.933 320.258 274.912 -28180.8
703600 598.449 320.52 274.69 -28181.2
703700 597.865 320.485 274.422 -28181.2
703800 597.749 319.531 274.368 -28181.3
703900 597.184 318.648 274.109 -28181.1
704000 598.535 320.928 274.729 -28181.8
704100 598.395 321.195 274.665 -28181.8
704200 598.354 322.295 274.646 -28182.1
704300 595.863 320.874 273.503 -28181.6
704400 596.416 321.965 273.756 -28182.2
704500 594.446 320.483 272.852 -28181.2
704600 595.439 319.587 273.308 -28181.6
704700 594.718 322.208 272.977 -28181.3
704800 598.103 320.173 274.531 -28182.2
704900 598.02 320.429 274.493 -28182
705000 597.007 321.594 274.028 -28181.6
705100 598.652 320.199 274.783 -28182.5
705200 595.432 320.762 273.305 -28181.3
705300 596.304 321.81 273.705 -28182.2
705400 595.478 323.953 273.326 -28182.3
705500 596.912 323.156 273.984 -28182.9
705600 596.233 322.696 273.673 -28182.4
705700 596.971 321.833 274.011 -28182.7
705800 595.209 320.905 273.202 -28181.9
705900 594.123 321.029 272.704 -28181.5
706000 595.752 322.125 273.452 -28182.3
706100 596.27 322.782 273.689 -28182.5
706200 595.857 321.372 273.5 -28181.8
706300 598.548 321.222 274.735 -28182.7
706400 594.772 319.918 273.002 -28181.2
706500 596.122 320.643 273.622 -28181.8
706600 595.544 321.904 273.356 -28181.6
706700 597.901 321.287 274.438 -28182.5
706800 597.903 322.046 274.439 -28182.6
706900 595.681 322.106 273.419 -28182
707000 594.96 322.19 273.088 -28182
707100 596.77 322.054 273.919 -28183.1
707200 594.363 322.355 272.814 -28182.3
707300 594.45 323.065 272.854 -28182.6
707400 593.963 321.993 272.631 -28182.3
707500 595.887 324.728 273.514 -28183.6
707600 595.516 323.775 273.343 -28183.7
707700 592.67 325.445 272.037 -28182.9
707800 593.848 326.57 272.578 -28183.8
707900 592.601 324.982 272.006 -28183
708000 594.539 324.509 272.895 -28183.5
708100 594.497 323.13 272.876 -28183.5
708200 592.798 324.72 272.096 -28182.7
708300 595.479 325.07 273.326 -28184
708400 592.471 324.882 271.946 -28183
708500 594.042 325.022 272.667 -28184.1
708600 592.234 324.346 271.837 -28183.4
708700 592.207 325.839 271.824 -28183.5
708800 593.614 325.638 272.47 -28184.3
708900 592.427 328.097 271.926 -28184.1
709000 594.365 326.667 272.815 -28185.1
709100 589.716 326.348 270.681 -28183.1
709200 591.819 327.147 271.647 -28184
709300 592.47 324.99 271.945 -28184
709400 591.809 326.786 271.642 -28183.9
709500 594.271 325.844 272.772 -28185
709600 592.844 326.282 272.117 -28184.1
709700 592.987 325.556 272.183 -28184
709800 590.676 325.737 271.122 -28183.3
709900 591.821 325.4 271.648 -28183.7
710000 590.383 323.762 270.988 -28182.9
710100 591.632 324.657 271.561 -28183.4
710200 593.812 327.948 272.561 -28184.5
710300 594.761 326.792 272.997 -28184.9
710400 591.67 326.533 271.578 -28183.8
710500 592.741 326.531 272.07 -28184.3
710600 590.421 324.065 271.005 -28183.3
710700 589.594 326.137 270.625 -28183
710800 593.174 325.7 272.268 -28184.4
710900 594.069 326.545 272.679 -28184.4
711000 594.225 325.569 272.751 -28184.1
711100 594.803 325.388 273.016 -28184.4
711200 592.129 326.265 271.789 -28183.9
711300 591.521 327.16 271.51 -28184.3
711400 590.464 328.179 271.024 -28184.5
711500 589.397 328.484 270.535 -28184.2
711600 591.888 328.247 271.678 -28185.1
711700 593.209 328.522 272.285 -28185.6
711800 591.971 327.826 271.716 -28185.3
711900 588.769 328.665 270.246 -28183.9
712000 589.622 325.561 270.638 -28183.9
712100 591.499 325.717 271.5 -28184.6
712200 591.202 327.394 271.363 -28184.4
712300 592.135 325.875 271.791 -28184.5
712400 592.006 326.515 271.732 -28184.4
712500 591.354 325.449 271.433 -28183.8
712600 591.584 325.283 271.539 -28184
712700 590.864 325.708 271.208 -28184.3
712800 590.158 328.326 270.884 -28184.6
712900 590.341 326.681 270.968 -28184.6
