LAMMPS data file via write_data, version 3 Mar 2020, timestep = 100000

256 atoms
1 atom types

0.0000000000000000e+00 2.1504000000000001e+01 xlo xhi
0.0000000000000000e+00 2.1504000000000001e+01 ylo yhi
0.0000000000000000e+00 2.1504000000000001e+01 zlo zhi

Masses

1 39.948

Pair Coeffs # lj/cut

1 0.2381 3.405

Atoms # atomic

8 1 5.5521336587793471e+00 2.6919424858227510e+00 2.7603874428028505e+00 0 0 0
19 1 2.5894872354271681e+00 5.6831916518288201e+00 2.8955227710184159e+00 0 0 0
23 1 8.2000718113048645e+00 5.4382026697636219e+00 2.7549365303823059e+00 0 0 0
24 1 5.4679002836823809e+00 8.1041632728350503e+00 2.5017686042472262e+00 0 0 0
34 1 2.5719141430838133e+00 2.6800666011106555e+00 5.0608992282252272e+00 0 0 0
38 1 7.9390645194120699e+00 2.6733462450765626e+00 5.5779234481667928e+00 0 0 0
40 1 5.3726384528947069e+00 2.4569020251497014e+00 8.2963520370151489e+00 0 0 0
50 1 2.7362361113121074e+00 8.3718555270898332e+00 5.4153191395709399e+00 0 0 0
51 1 3.0630126612457360e+00 5.0031988674611574e+00 7.8463567056508028e+00 0 0 0
53 1 5.5874596634396401e+00 5.4561000424989778e+00 5.0467179168369105e+00 0 0 0
54 1 8.1193899307009811e+00 8.1634975121118423e+00 5.2563693308323209e+00 0 0 0
55 1 7.9173349031450622e+00 4.9925306414549517e+00 8.1991542543134077e+00 0 0 0
56 1 5.2719088891527432e+00 7.7749158656873139e+00 8.0939390556584510e+00 0 0 0
2 1 2.5269299970461980e+00 3.0335263743183907e+00 1.9404743045426862e-01 0 0 0
57 1 1.0448415603592403e+01 5.3971894247431207e+00 5.3735937186706018e+00 0 0 0
26 1 1.3461655399024540e+01 8.2382184126347191e+00 1.5486211688656012e-01 0 0 0
28 1 1.0888598347911863e+01 8.1896502945642915e+00 2.8474531774049097e+00 0 0 0
36 1 2.1500027351459416e+01 2.3290691657436637e+00 7.9154090608048167e+00 -1 0 0
7 1 8.0240386470153293e+00 4.3470223987804354e-02 2.6902067227489206e+00 0 0 0
