Time  E1  E2
0  -0  -0
100000  -3.16063247449278  5.15339711665675
200000  -13.2034537924145  11.1784847363174
300000  -19.9879069851205  19.4174487377027
400000  -32.2933305866023  28.6410192231092
500000  -44.6942216698268  43.4314878855748
600000  -56.6172695562395  53.0932009421105
700000  -65.0202372979298  61.030833091717
800000  -72.6513377227043  69.393257675974
900000  -82.2978558282367  81.141612986143
1000000  -92.5789789265812  89.2234769243395
1100000  -97.774895678413  101.838677435084
1200000  -108.89041274777  106.839560863867
1300000  -117.516528540444  117.98734976252
1400000  -126.657282037563  124.7674453883
1500000  -134.335759734497  135.369670123524
1600000  -148.418680347305  146.851859423587
1700000  -160.64084319021  159.537689057153
1800000  -163.657530706951  161.19244343325
1900000  -165.65132934648  165.044749798813
2000000  -172.668297490947  173.127748513257
2100000  -185.515769541646  182.683491230043
2200000  -189.653298799164  191.546315275409
2300000  -201.362275569143  203.623537385449
2400000  -216.327792251203  214.550548576422
2500000  -229.686283189238  219.945839946898
2600000  -235.325190084346  229.845918273655
2700000  -243.441058428909  238.644013183238
2800000  -252.268800774008  248.911877201665
2900000  -260.798033165892  257.553502275998
3000000  -267.413935104806  261.356232139502
3100000  -276.525537007397  273.841200045967
3200000  -283.612461725128  277.088399824028
3300000  -292.980655052871  288.701743270084
3400000  -302.870732346442  300.751004687554
3500000  -310.653260589931  309.540945468766
3600000  -323.839047647644  317.018560556317
3700000  -335.268349846357  330.126464632323
3800000  -344.858977010037  347.256898493398
3900000  -354.180290215755  356.091799924485
4000000  -360.587136136895  359.799166381518
4100000  -366.27364708372  368.426006187389
4200000  -370.509965817631  370.525308026601
4300000  -379.331353811941  378.071978873154
4400000  -386.135091781549  384.522667270089
4500000  -394.25810464227  394.173923196948
4600000  -403.075249911461  406.572062251676
4700000  -415.43934994662  414.929199682911
4800000  -425.519280414726  426.8992952212
4900000  -431.863056701585  428.039675795344
5000000  -439.34489155195  435.829168079606
5100000  -448.955564324345  443.037143197123
5200000  -454.751830525833  443.895553874472
5300000  -458.005314148302  455.397970049537
5400000  -467.186100994986  463.160207281477
5500000  -472.621107444081  470.994067030402
5600000  -484.163039946365  479.98288118596
5700000  -496.6529369337  492.049256920986
5800000  -498.610901792127  497.296369599173
5900000  -504.029762679902  503.201045323485
6000000  -514.03964988315  511.157742008143
6100000  -523.985598910479  530.312543307721
6200000  -536.995419699655  539.649198172765
6300000  -542.990543074544  549.029919118941
6400000  -556.050690455071  556.15564398969
6500000  -567.426823805104  567.056688208648
6600000  -580.960833755748  574.994848297272
6700000  -590.313959256982  590.085368584324
6800000  -600.527970796651  598.252365068489
6900000  -611.612639295413  607.542214714551
7000000  -617.842407264687  615.999703116517
7100000  -626.82233181914  627.278149866061
7200000  -635.655436106135  631.612884943725
7300000  -644.803499748194  645.601546880489
7400000  -649.233332073582  652.019855302002
