# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
715500 586.911 328.436 269.394 -28186.4
715600 586.977 328.529 269.424 -28186.1
715700 587.397 327.616 269.617 -28186.1
715800 587.366 327.607 269.603 -28186.1
715900 587.31 327.911 269.577 -28185.8
716000 586.453 327.167 269.183 -28185.2
716100 588.152 326.093 269.963 -28186
716200 587.4 328.07 269.618 -28185.9
716300 590.205 327.76 270.906 -28187.2
716400 584.312 327.711 268.201 -28184.9
716500 586.954 329.477 269.413 -28186.2
716600 586.186 328.372 269.061 -28185.6
716700 587.427 326.767 269.631 -28185.9
716800 588.87 327.086 270.293 -28186.3
716900 587.225 326.284 269.538 -28185.4
717000 588.076 326.209 269.929 -28185.6
717100 586.165 327.167 269.051 -28184.3
717200 590.621 325.252 271.097 -28185.8
717300 588.016 323.872 269.901 -28184.5
717400 589.26 325.423 270.472 -28185.4
717500 589.15 325.576 270.421 -28185.6
717600 587.051 327.367 269.458 -28185
717700 588.332 328.69 270.046 -28185.9
717800 588.631 327.423 270.183 -28186.1
717900 586.412 327.021 269.165 -28185.2
718000 588.489 328.005 270.118 -28186.6
718100 586.172 327.633 269.055 -28186
718200 585.73 329.929 268.852 -28186.1
718300 586.693 327.207 269.294 -28186.6
718400 584.56 329.745 268.315 -28185.8
718500 587.126 330.058 269.492 -28187.3
718600 585.432 330.789 268.715 -28186.8
718700 584.845 328.138 268.446 -28186.5
718800 586.894 329.546 269.386 -28187
718900 586.273 328.32 269.101 -28186.6
719000 583.567 328.013 267.859 -28185.4
719100 586.761 329.622 269.325 -28186.9
719200 585.297 328.39 268.653 -28186.3
719300 587.14 328.921 269.499 -28187
719400 586.821 329.412 269.353 -28187.3
719500 583.738 330.257 267.937 -28186.3
719600 585.21 330.501 268.613 -28187.1
719700 583.263 331.418 267.719 -28186.3
719800 585.569 329.723 268.778 -28187
719900 585.56 329.357 268.774 -28187.1
720000 586.366 330.906 269.144 -28187.6
720100 584.847 330.255 268.447 -28186.9
720200 585.197 329.957 268.607 -28187
720300 583.586 330.254 267.868 -28186.6
720400 584.817 330.801 268.433 -28187.4
720500 584.269 330.316 268.181 -28187.4
720600 584.403 330.33 268.243 -28187.9
720700 581.477 331.101 266.899 -28187
720800 582.319 330.942 267.286 -28187.5
720900 581.017 331.885 266.688 -28186.9
721000 583.132 332.231 267.659 -28187.5
721100 585.758 331.708 268.865 -28188
721200 587.153 328.805 269.505 -28188.3
721300 584.588 330.959 268.327 -28187.4
721400 582.913 332.514 267.559 -28186.9
721500 584.242 329.692 268.169 -28187.3
721600 585.68 330.739 268.829 -28188.1
721700 581.969 331.855 267.125 -28186.9
721800 583.017 332.336 267.606 -28187.5
721900 585.633 331.758 268.807 -28188.4
722000 582.803 330.805 267.508 -28187.2
